Hotel_Name,Rating,Score,Number_Reviews,Price,Room_Type,City,Country
Leighwood Lodge,Exceptional,9.5,216,88,Standard Double Room,Johannesburg,South Africa
MINT Express Sandton View,Good,7.3,"4,207",35,One-Bedroom Standard Apartment,Johannesburg,South Africa
Nine Loch Guesthouse,Exceptional,9.5,71,54,Superior Queen Room,Johannesburg,South Africa
ONOMO Hotel Johannesburg Sandton,Good,7.8,"1,390",,Standard Queen Room,Johannesburg,South Africa
Oxford Healthcare Retreat,Exceptional,9.6,30,218,Deluxe Room,Johannesburg,South Africa
Palmar Hotel,Good,7.8,291,26,One-Bedroom Apartment,Johannesburg,South Africa
Q on First B&B,Wonderful,9.2,54,79,Deluxe Double Room with Shower,Johannesburg,South Africa
Radisson Hotel and Convention Centre OR Tambo Airport,Very Good,8.3,"2,544",,Standard Room - Boutique Building,Johannesburg,South Africa
Radisson RED Hotel Johannesburg Rosebank,Very Good,8.2,"1,465",159,Standard Room,Johannesburg,South Africa
Road Lodge JNB Airport,Review score,6.9,579,,Standard Double Room,Johannesburg,South Africa
Road Lodge Randburg,Good,7,"1,045",,Standard Double Room,Johannesburg,South Africa
Road Lodge Rivonia,Good,7.5,563,,Small Double Room,Johannesburg,South Africa
Road Lodge Sandton,Very Good,8,"3,079",,Double Room - Non-Smoking,Johannesburg,South Africa
Sandton Penthouse,Excellent,8.8,115,245,Apartment,Johannesburg,South Africa
Sandton Slippers,Exceptional,9.6,166,67,Queen Room,Johannesburg,South Africa
Sandton Spring Rivonia,Wonderful,9.1,57,47,Standard Double Room,Johannesburg,South Africa
Sandton Sun and Towers,Excellent,8.8,"3,518",195,Sandton Sun Superior King Room,Johannesburg,South Africa
Shepherd Lodge,Wonderful,9,135,74,Double Room,Johannesburg,South Africa
Southern Sun Hyde Park Sandton,Very Good,8.4,"1,067",86,Standard Premium Room 1 King Bed Non Smoking,Johannesburg,South Africa
"Southern Sun Rosebank, Johannesburg",Very Good,8.2,"3,111",87,Standard King Non Smoking,Johannesburg,South Africa
Studio Stay on Sixty6,Exceptional,9.6,19,87,One-Bedroom Standard Apartment,Johannesburg,South Africa
The Capital Empire,Excellent,8.8,741,124,Standard Room,Johannesburg,South Africa
The Capital Melrose,Very Good,8.4,"1,172",111,Standard Double Room,Johannesburg,South Africa
The Capital on Bath,Very Good,8.1,683,82,Standard Double Room,Johannesburg,South Africa
The Capital on the Park,Excellent,8.6,686,101,Standard Double or Twin Room,Johannesburg,South Africa
The Catalyst Apartment Hotel by NEWMARK,Excellent,8.6,"6,164",77,Deluxe Room,Johannesburg,South Africa
The Great Gatsby Houghton,Exceptional,9.5,626,57,Deluxe Room,Johannesburg,South Africa
"The Houghton Hotel, Spa, Wellness & Golf",Wonderful,9,"2,191",184,Studio Apartment,Johannesburg,South Africa
The Leonardo,Excellent,8.9,355,266,One-Bedroom Apartment,Johannesburg,South Africa
The Michelangelo Towers,Very Good,8.1,274,305,One-Bedroom Luxury Suite,Johannesburg,South Africa
The Monarch Hotel,Wonderful,9.3,93,253,Deluxe Family Room,Johannesburg,South Africa
The Park Central Residence - WITH GENERATOR,Very Good,8.3,"1,995",48,Standard Apartment,Johannesburg,South Africa
The Parkwood,Wonderful,9.4,232,173,Standard Double Room,Johannesburg,South Africa
The Residence,Wonderful,9.3,280,323,Luxury Room,Johannesburg,South Africa
The Syrene Boutique Hotel,Very Good,8.4,17,189,Deluxe Suite,Johannesburg,South Africa
67 Airport Hotel Nairobi,Good,7.9,"1,071",80,Deluxe Double Room,Nairobi,Kenya
ACK Guest House Nairobi,Good,7.9,150,47,Standard Double Room,Nairobi,Kenya
Airport Landing Hotel,Good,7.3,424,,Deluxe Queen Room,Nairobi,Kenya
Bella Vista at Enzi Heights along Mombasa Rd next to Nextgen close to JKIA,Wonderful,9,32,45,One-Bedroom Apartment,Nairobi,Kenya
Best Western Nairobi Upper Hill,Very Good,8.4,274,112,Standard King Room,Nairobi,Kenya
Best Western Plus Westlands,Excellent,8.6,"1,075",158,Superior King Room,Nairobi,Kenya
Bidwood Suite Hotel,Very Good,8.2,181,170,1 Bedroom King Suite,Nairobi,Kenya
Boma Inn Nairobi,Good,7.7,463,66,Standard King Room,Nairobi,Kenya
Broadwalk Residency,Wonderful,9.1,260,129,Studio with Balcony,Nairobi,Kenya
CalmCacoon Apartment,Wonderful,9.1,8,41,One-Bedroom Apartment,Nairobi,Kenya
Capital Heights Hotel,Review score,6.9,420,35,Deluxe Double Room,Nairobi,Kenya
Cloud Hotel & Suites,Good,7.2,699,81,Standard Double Room,Nairobi,Kenya
Crowne Plaza Nairobi Airport by IHG,Excellent,8.9,"2,061",,Standard King Room,Nairobi,Kenya
Dusit Princess Hotel Residences Nairobi,Wonderful,9,84,180,Deluxe Room,Nairobi,Kenya
Eastland Hotel,Good,7.4,20,69,Standard Double or Twin Room,Nairobi,Kenya
Easy Hotel Kenya,Good,7.5,413,55,Standard Double Room,Nairobi,Kenya
Eka Hotel Nairobi,Good,7.9,476,139,Superior Double or Twin Room,Nairobi,Kenya
Elysian Resort,Very Good,8,134,89,Standard Double Room,Nairobi,Kenya
"Enzi Heights Apartments - Cozy 1 bedroom near Eka Hotel, Pool, Gym, Lift",Exceptional,9.5,24,47,One-Bedroom Apartment,Nairobi,Kenya
Esterina Suites,Excellent,8.6,60,45,One-Bedroom Apartment,Nairobi,Kenya
Executive Residency by Best Western Nairobi,Wonderful,9.1,207,133,One-Bedroom Apartment,Nairobi,Kenya
Fair Acres Boutique Hotel Karen,Very Good,8,47,167,Deluxe Double Room,Nairobi,Kenya
Fairmont The Norfolk,Very Good,8.5,260,,Fairmont Queen Room,Nairobi,Kenya
Fairview Hotel Nairobi,Excellent,8.7,351,,Standard King Room,Nairobi,Kenya
Fedha Residences by Trianum,Good,7.9,69,78,Executive Two-Bedroom Apartment,Nairobi,Kenya
Four Points by Sheraton Nairobi Airport,Very Good,8.5,"1,211",,"Traditional King, Guest room, 1 King",Nairobi,Kenya
Golden Tulip Westlands Nairobi,Good,7.7,590,153,Standard Room – Commercial View,Nairobi,Kenya
Hennessis Hotel,Good,7.2,49,61,Superior Double Room,Nairobi,Kenya
Hilton Garden Inn Nairobi Airport,Very Good,8.5,"1,047",,King Room - Mobility Accessible,Nairobi,Kenya
Hob House,Exceptional,9.6,78,123,Standard Twin Room,Nairobi,Kenya
"Hotel Boulevard Nairobi, City Centre CBD",Very Good,8,927,67,Classic Double Room,Nairobi,Kenya
Hotel Rudi,Very Good,8.2,42,132,Deluxe Twin Room,Nairobi,Kenya
JKIA Apartments by Away Homes Rentals LTD,Wonderful,9,4,28,Deluxe Studio,Nairobi,Kenya
Kozi Suites Nairobi Airport,Very Good,8.1,"4,202",43,Deluxe Studio,Nairobi,Kenya
"Kwetu Nairobi, Curio Collection By Hilton",Excellent,8.9,33,,King Room,Nairobi,Kenya
Lantern Serviced Apartments,Very Good,8.1,254,40,Studio,Nairobi,Kenya
Lenana Suites,Wonderful,9.4,25,95,One-Bedroom Apartment,Nairobi,Kenya
"Lotos Inn & Suites, Nairobi",Very Good,8.2,"1,665",81,Standard Suite,Nairobi,Kenya
Margarita House,Excellent,8.7,229,108,Standard Double or Twin Room,Nairobi,Kenya
Masai Lodge,Very Good,8,276,146,Chalet,Nairobi,Kenya
Maxland Hotel,Good,7.4,41,69,Double Room,Nairobi,Kenya
Muthu Silver Springs Hotel,Good,7.4,53,125,Standard Double Room,Nairobi,Kenya
Nairobi Safari Club by Swiss-Belhotel,Good,7.4,235,101,Suite with Balcony,Nairobi,Kenya
Nairobi Serena Hotel,Excellent,8.9,413,212,Deluxe Queen Room,Nairobi,Kenya
Njema Court Apartment,Very Good,8.5,25,58,Studio Apartment,Nairobi,Kenya
Novotel Nairobi Westlands,Excellent,8.9,47,,Superior King Room,Nairobi,Kenya
Okash City Boutique Hotel,Excellent,8.8,75,126,Superior Double Room,Nairobi,Kenya
Ole Sereni,Very Good,8,"1,128",,Cozy Room,Nairobi,Kenya
Palacina The Residence & The Suites,Wonderful,9,289,208,Studio Kitchenette,Nairobi,Kenya
Pan Pacific Serviced Suites Nairobi,Excellent,8.7,226,225,One Bedroom Suite King,Nairobi,Kenya
PrideInn Azure Hotel Nairobi Westlands,Very Good,8,482,136,Standard King Room,Nairobi,Kenya
PrideInn Plaza Nairobi Airport,Very Good,8.2,302,112,Superior King Room,Nairobi,Kenya
Progressive Park Hotel,Very Good,8.1,144,72,DOUBLE/TWIN ROOM WITH FAN,Nairobi,Kenya
Razana Hotel,Excellent,8.6,333,61,Standard Twin Room,Nairobi,Kenya
Royal Tulip Canaan Nairobi,Good,7.7,278,153,Standard Queen Room,Nairobi,Kenya
Saab Royale Hotel,Very Good,8,137,55,Double Room,Nairobi,Kenya
Safari Park Hotel,Good,7.4,175,234,Junior Suite with Balcony,Nairobi,Kenya
Salmiya Place,Excellent,8.9,61,45,Double Room,Nairobi,Kenya
Sky Hotel Nairobi,Good,7.7,57,41,Standard Double Room,Nairobi,Kenya
Soluxe Club International Hotel,Good,7.3,46,44,Deluxe Double Room,Nairobi,Kenya
Sportsview Hotel Kasarani,Very Good,8,85,66,Standard Double Room,Nairobi,Kenya
"The Coffee Residences Premier, near JKI Airport 3 Bedroom",Excellent,8.6,7,71,Two-Bedroom Apartment,Nairobi,Kenya
The Concord Hotel & Suites,Good,7.8,"1,248",110,Superior Room,Nairobi,Kenya
The Grand Gables,Review score,6.2,186,69,One-Bedroom Apartment,Nairobi,Kenya
The Heron By Sarovar Portico India,Good,7.7,355,80,"Superior Room 2 Single Beds, 24Sqm, Air Conditionned, Room Service, Tea And Coffee, Flat Screen Tv",Nairobi,Kenya
The Ivory Hotel,Good,7.9,85,68,Superior Double Room,Nairobi,Kenya
"The Landmark Suites Westlands, Nairobi- Next to Westgate Mall",Good,7.4,147,85,Standard Double Room,Nairobi,Kenya
The Panari Hotel - Near Jomo Kenyatta International Airport,Good,7.8,672,90,Superior Room with Skyline View,Nairobi,Kenya
"The Social House Nairobi, a Preferred Lifestyle Hotel",Excellent,8.8,363,203,Standard Double Room,Nairobi,Kenya
The Zehneria By Sarovar Portico India,Good,7.8,457,54,Superior 01 Double Room,Nairobi,Kenya
"Tribe Hotel, Nairobi, a Member of Design Hotels",Excellent,8.9,189,302,Superior King Room,Nairobi,Kenya
Ulwazi Place Hotel by Trianum,Good,7.6,93,77,Standard Double Room,Nairobi,Kenya
Villa Rosa Kempinski,Excellent,8.9,646,250,Superior King Room,Nairobi,Kenya
Weston Hotel,Good,7.9,251,143,Superior Queen Room,Nairobi,Kenya
Wildebeest Eco Camp,Very Good,8.5,617,96,Double or Twin Tent,Nairobi,Kenya
Aloft Dubai Airport,Very Good,8.4,"5,152",,Aloft King Room - Complimentary DXB Airport Shuttle Drop Off,Dubai,UAE
Atana Hotel,Very Good,8.5,"30,352",99,Standard Twin Room,Dubai,UAE
Canal Central Hotel Business Bay,Excellent,8.6,"8,395",103,Superior Room City View with free access to Hotel's private beach at Palm - Jumeirah,Dubai,UAE
Copthorne Hotel Dubai,Very Good,8.4,"4,326",68,Superior Twin Room with City View,Dubai,UAE
DAMAC Maison Aykon City Dubai,Wonderful,9.1,"4,607",122,Studio City View With kitchenette - Free Bus service to Dubai Mall Metro Station,Dubai,UAE
DAMAC Maison Cour Jardin,Wonderful,9,"1,926",102,Deluxe Room with kitchenette - City Skyline View,Dubai,UAE
Days Hotel By Wyndham Dubai Deira,Very Good,8.1,"5,990",63,"Superior Queen Room with City View - Complimentary Shuttle to Kite Beach, Dubai Mall / Burj Khalifa, 25% off F&B",Dubai,UAE
Dusit Thani Dubai,Very Good,8.5,"7,440",84,Deluxe Room,Dubai,UAE
Flora Al Barsha Hotel At The Mall,Very Good,8.3,"8,136",73,Classic King/ Twin Room - Complimentary Transfer To Beach,Dubai,UAE
Flora Inn Hotel Dubai Airport,Very Good,8.1,"13,395",64,Superior Room - Complimentary Transfer to the Beach,Dubai,UAE
GLOBALSTAY J One Tower Apartments at Pearl of UAE,Good,7.8,177,125,Studio,Dubai,UAE
Grand Hyatt Dubai,Excellent,8.7,"6,200",135,King Room,Dubai,UAE
Grand Mercure Dubai City,Very Good,8.3,"7,069",,"Deluxe Twin Room - DXB Free Airport Drop-Off T1&T3 every hour (24/7), Free Shuttle Service to Dubai Mall - Burj Khalifa & La Mer Beach",Dubai,UAE
Grand Millennium Dubai,Wonderful,9.1,"3,063",101,Superior Twin Room,Dubai,UAE
Gulf Court Hotel Business Bay,Very Good,8.1,"5,348",64,Superior Room,Dubai,UAE
Holiday Inn Express Dubai Airport by IHG,Very Good,8.1,"21,895",66,Standard King Room - Smoking,Dubai,UAE
Hyatt Place Dubai Wasl District,Very Good,8.3,"5,010",74,King Room with Sofa Bed,Dubai,UAE
Hyatt Regency Dubai - Corniche,Very Good,8,"6,224",95,King Room with Sea View,Dubai,UAE
Hyatt Regency Dubai Creek Heights,Excellent,8.8,"8,282",142,King Room,Dubai,UAE
ibis Styles Dubai Airport Hotel,Good,7.7,"13,805",,King Room - DXB Free Airport Drop-Off T1&T3 every hour (24/7),Dubai,UAE
Ink Hotel,Very Good,8.1,"4,317",93,Standard City View,Dubai,UAE
IntercityHotel Dubai Jaddaf Waterfront,Very Good,8,"5,886",58,Superior King Room (Includes 15% Off F&B and Shuttle Service to Festival City Mall),Dubai,UAE
Le Méridien Dubai Hotel & Conference Centre,Excellent,8.7,"7,073",,"Deluxe Room, Guest Room, 1 Queen Bed, Garden View - Complimentary DXB Airport Shuttle Drop Off",Dubai,UAE
"Leva Hotel and Suites, Opposite Downtown",Excellent,8.8,"8,249",76,Deluxe Twin Atrium View,Dubai,UAE
Majestic Cove Hotel - Formerly Le Méridien Fairway,Excellent,8.8,95,50,Deluxe King Room,Dubai,UAE
Media One Hotel,Excellent,8.7,"3,485",109,Standard Double Room,Dubai,UAE
Millennium Airport Hotel Dubai,Very Good,8.3,"10,138",56,"Deluxe King Room, complimentary shuttle to DXB Airport Terminal 1 & 3",Dubai,UAE
Millennium Central Downtown,Good,7.6,"5,251",66,Standard Twin Room,Dubai,UAE
Millennium Place Dubai Marina,Excellent,8.8,"7,494",123,Superior King Room,Dubai,UAE
Mövenpick Grand Al Bustan,Very Good,8.3,"3,833",54,"Classic King Room, 20% off on F&B, Complimentary shuttle to Dubai Festival City Mall",Dubai,UAE
Oaks Ibn Battuta Gate Dubai,Wonderful,9.1,"2,822",86,Premier Room With Free Shuttle Bus to Public Beach,Dubai,UAE
Park Regis Business Bay,Very Good,8.5,"4,381",75,"Standard Room, 20% off food and beverage, excluding signature dishes, 20% off Laundry and 10% off Spa",Dubai,UAE
Premier Inn Dubai Ibn Battuta Mall,Very Good,8.4,"10,552",,Standard Double Smoking,Dubai,UAE
Premier Inn Dubai International Airport,Very Good,8.5,"22,344",,New Style Double Room -Non Smoking- Free DXB Airport Shuttle Every 30min to T1&3,Dubai,UAE
Pullman Dubai Jumeirah Lakes Towers,Very Good,8.1,902,,Superior King Room,Dubai,UAE
"Radisson Blu Hotel, Dubai Deira Creek",Very Good,8.4,"7,279",104,"Standard Room with Balcony and Creek View - includes Complimentary Shuttle to Kite Beach, Dubai Mall / Burj Khalifa",Dubai,UAE
Raffles Dubai,Wonderful,9.2,"2,224",172,Signature Twin Room with Terrace,Dubai,UAE
Ramada by Wyndham Downtown Dubai,Excellent,8.7,"9,771",154,"1 Bedroom, Balcony King, Downtown View, Smoking, Complimentary Transfer to Kite Beach, Dubai Mall and Metro Station",Dubai,UAE
Riviera Hotel,Very Good,8.5,"1,393",56,Standard Twin bed- Souk View with Balcony- Free Beach Transfer,Dubai,UAE
Sofitel Dubai The Obelisk,Wonderful,9.2,"5,716",129,Deluxe Room,Dubai,UAE
Sonder Downtown Towers,Very Good,8.5,"5,620",175,Two-Bedroom Apartment with City View,Dubai,UAE
Studio One Hotel,Very Good,8.4,"2,862",67,Standard Double Room,Dubai,UAE
Sunday Hotel Holiday international Dubai,Excellent,8.7,"4,086",44,Deluxe Double Room,Dubai,UAE
Super 8 by Wyndham Dubai Deira,Very Good,8,"2,779",54,Superior Queen Room with Souq View,Dubai,UAE
Swissôtel Al Ghurair Dubai - Deira & Creek,Very Good,8.3,"7,615",,Classic King Room,Dubai,UAE
Taj Dubai,Wonderful,9,"5,183",184,Luxury King Room with City View,Dubai,UAE
The Meydan Hotel Dubai,Wonderful,9.1,"9,079",117,Grand Superior Balcony King,Dubai,UAE
"TIME Grand Plaza Hotel, Dubai Airport",Very Good,8.3,"3,253",43,Deluxe Twin Room,Dubai,UAE
TIME Oak Hotel & Suites,Excellent,8.6,"2,012",79,Deluxe King Room,Dubai,UAE
Wyndham Dubai Deira,Very Good,8.4,"10,395",97,"Superior King Room with City View, Complimentary Shuttle to Kite Beach, Dubai Mall / Burj Khalifa, 25% off F&B and Spa",Dubai,UAE
54 Queen's Gate Hotel,Excellent,8.7,"2,733",255,Double Room,London,England
55 by Le Mirage,Very Good,8.4,"2,882",152,Standard Double Room,London,England
AMANO Covent Garden,Very Good,8.3,"7,075",312,Comfy room,London,England
Apex Temple Court Hotel,Wonderful,9,"3,848",328,City King Room,London,England
B&B Belgravia,Good,7.8,"2,574",182,Family Room (2 Adults + 1 Child),London,England
Best Western Buckingham Palace Rd,Very Good,8,"2,237",169,Standard Double Room,London,England
Best Western Corona Hotel,Good,7.5,"3,012",214,Standard Double Room,London,England
Blakemore Hyde Park,Very Good,8.5,"12,279",193,Club Double Room,London,England
Byron Hotel,Very Good,8.2,"4,426",155,Standard Double Room,London,England
citizenM Southwark Bankside,Excellent,8.7,"3,962",,King Room,London,England
Euro Hotel,Very Good,8.1,"3,919",206,En Suite Twin Room,London,England
Fielding Hotel,Very Good,8.2,"4,019",230,Double or Twin Room,London,England
Grand Royale Hyde Park,Good,7.2,"9,971",156,Deluxe Double Room,London,England
Hotel Indigo London - Kensington by IHG,Very Good,8.2,"1,651",,Standard Room,London,England
Howard Winchester Hotel,Very Good,8,"4,431",152,Twin Room,London,England
"Hux Hotel, Kensington",Very Good,8.5,"1,312",219,Signature Double Room,London,England
Hyde Park International,Very Good,8.2,"2,605",162,Small Double Room,London,England
ibis London Blackfriars,Very Good,8.1,"6,655",,Standard Double Room,London,England
ibis Styles London Southwark - near Borough Market,Excellent,8.6,"4,295",,Standard Queen Room,London,England
Irving Street 4th Floor Studios,Very Good,8.3,3,224,Studio,London,England
La Suite West - Hyde Park,Very Good,8,"2,493",171,Petite Double Room,London,England
Lancaster Gate Hotel,Good,7.5,"13,872",,Double Room,London,England
Leonardo Royal Hotel London City - Tower of London,Excellent,8.7,"9,904",311,Superior King Room,London,England
London Court Hotel,Very Good,8,"1,725",131,"Classic Twin Room, with en suite",London,England
Luna And Simone Hotel,Excellent,8.6,"3,733",269,Double Room,London,England
Maldron Hotel Shoreditch London,Very Good,8.5,672,311,Deluxe Cozy Double,London,England
Marlin Waterloo,Very Good,8.4,"11,192",199,"Classic Room, 1 King Bed",London,England
Megaro Hotel,Very Good,8.5,"2,673",351,Standard Double Room,London,England
Merit Kensington Hotel,Good,7.9,"6,472",171,Double Room,London,England
"Page8, Page Hotels",Wonderful,9.1,"4,576",369,Double Room,London,England
Park Avenue J Hotel London Hyde Park,Good,7.9,"1,797",167,Deluxe Double Room,London,England
Park Grand Paddington Court,Good,7.2,"8,811",156,Deluxe Double Room,London,England
Park International Hotel,Good,7.6,"6,423",154,Double Room,London,England
Park Plaza County Hall London,Excellent,8.6,"11,614",260,Superior Double Room,London,England
Park Plaza London Riverbank,Very Good,8.2,"13,918",209,Superior Double Room,London,England
Park Plaza Victoria London,Very Good,8.4,"6,845",260,Superior Double Room,London,England
Pestana Chelsea Bridge Hotel & SPA,Very Good,8.3,"5,437",200,Deluxe King Room,London,England
Point A Hotel London Kings Cross – St Pancras,Good,7.9,"5,346",170,Double Room - No Window,London,England
Point A Hotel London Paddington,Very Good,8,"6,579",175,Double Room - No Window,London,England
Point A Hotel London Shoreditch,Good,7.6,"6,402",136,Double Room - No Window,London,England
"Radisson Blu Hotel, London Bond Street",Good,7.4,"4,549",367,Standard Double/Twin Room,London,England
"Radisson Blu Hotel, London Euston Square - formerly Grafton",Good,7.9,"9,862",270,Standard Double or Twin Room,London,England
Riu Plaza London Victoria,Very Good,8.5,"10,170",245,Deluxe - No Window,London,England
Rove Hotel London Paddington,Good,7.4,"3,128",135,Standard Double Lower Level,London,England
Sea Containers London,Excellent,8.8,"8,753",369,Superior,London,England
Sidney Hotel London-Victoria,Very Good,8.1,"12,534",135,Double Room,London,England
Signature Townhouse London Hyde Park,Review score,6.9,"4,463",160,Superior Double Room,London,England
Sloane Square Hotel,Very Good,8,"1,972",312,Small Double Room,London,England
Sonder The Voyage,Good,7.8,847,137,Small Double Room,London,England
"Studio Apartment, Covent Garden",Very Good,8,498,178,Standard Apartment,London,England
The Belgrave Hotel,Very Good,8.5,"5,679",173,Standard Double Room,London,England
The Cavendish London,Very Good,8.2,"3,632",432,Classic Double Room,London,England
The Clerk & Well Pub and Rooms,Excellent,8.8,750,295,Double Room,London,England
"The Clermont London, Charing Cross",Excellent,8.7,"3,633",386,Deluxe Double Room,London,England
"The Clermont London, Victoria",Very Good,8.5,"7,144",348,Classic Double Room,London,England
"The Cumberland, London",Very Good,8,"8,278",203,Classic Double,London,England
The Exhibitionist Hotel,Very Good,8.5,"3,841",283,Deluxe Double Room,London,England
The Gore London - Starhotels Collezione,Very Good,8.3,"2,138",259,Cozy Double Room,London,England
"The Hoxton, Southwark",Excellent,8.8,"2,206",396,Shoebox,London,England
The Kings Arms Pub & Boutique Rooms,Wonderful,9.1,"1,228",270,Double Room - Boutique Cozy,London,England
The Other House South Kensington,Excellent,8.8,"5,211",281,King Bedroom,London,England
The Pelham London - Starhotels Collezione,Very Good,8.3,957,295,Superior Double Room,London,England
The Portico Hotel,Good,7.7,"5,897",157,Deluxe Double Room,London,England
The Prime London Hotel,Very Good,8.1,"1,876",142,Basement Small Double Room,London,England
The Queens Gate Hotel,Excellent,8.7,"2,854",250,Deluxe Queen Room,London,England
"The Royal Horseguards Hotel, London",Very Good,8.4,"3,553",309,Standard Double Room,London,England
The Westbourne Hyde Park,Very Good,8.5,"4,861",244,Deluxe Double Studio,London,England
"The Westminster London, Curio Collection by Hilton",Very Good,8.4,"7,660",,Twin Room,London,England
"The Windermere Hotel, London",Excellent,8.7,"2,191",240,Standard Twin Room,London,England
Thistle London Hyde Park Kensington Gardens,Good,7.9,"3,014",174,Standard Double Room,London,England
Thistle London Piccadilly,Good,7.9,"2,848",259,Standard Double Room,London,England
Thistle London Trafalgar Square,Good,7.7,"2,999",237,Standard Double Room,London,England
Wonderful Knightsbridge Apartment by Harrods,Exceptional,9.6,63,327,Apartment,London,England
45 Times Square Hotel,Very Good,8.3,"3,070",261,Executive King Room,New York,USA
70 Park Avenue Hotel,Very Good,8.3,"2,291",237,Standard Room,New York,USA
Arthouse Hotel,Very Good,8,"2,270",258,Superior King Room,New York,USA
Carnegie Hotel,Excellent,8.6,"2,270",,Superior Queen Room,New York,USA
Citadines Connect Fifth Avenue New York,Good,7.4,"3,269",269,Premier King Room,New York,USA
citizenM New York Bowery,Excellent,8.7,"3,297",,King Room,New York,USA
City Club Hotel,Good,7.3,"2,527",,Petite Room,New York,USA
"Club Quarters Hotel World Trade Center, New York",Very Good,8.3,"4,134",261,Small Queen Room,New York,USA
Courtyard by Marriott Times Square West,Very Good,8.3,"3,100",,King Room with Roll-in Shower - Mobility and Hearing Accessible,New York,USA
Crowne Plaza HY36 Midtown Manhattan by IHG,Very Good,8.4,581,,Standard King Room,New York,USA
Delta Hotels by Marriott New York Times Square,Good,7.8,"4,267",305,King Room,New York,USA
DoubleTree by Hilton Hotel New York City - Chelsea,Good,7.2,"3,668",316,King Room - Non-Smoking,New York,USA
DoubleTree by Hilton New York Downtown,Good,7.5,"3,947",,King Room,New York,USA
DoubleTree by Hilton New York Times Square South,Very Good,8.2,"6,550",297,King Room,New York,USA
Doubletree By Hilton New York Times Square West,Review score,6.8,"11,146",,Standard King Room,New York,USA
Element Times Square West,Very Good,8.1,"7,569",,King Room - Hearing Accessible,New York,USA
Embassy Suites By Hilton New York Manhattan Times Square,Good,7.7,"3,943",348,King Room,New York,USA
Eurostars Wall Street,Very Good,8,"1,356",240,Queen Room,New York,USA
Executive Hotel Le Soleil New York,Excellent,8.7,"4,563",314,Executive Queen Room,New York,USA
Fairfield By Marriott New York Manhattan Times Square,Very Good,8.3,"5,661",,King Room,New York,USA
Fairfield Inn & Suites by Marriott New York Midtown Manhattan/Penn Station,Very Good,8,"4,806",,King Room,New York,USA
Fairfield Inn & Suites New York Manhattan/Downtown East,Very Good,8.2,"1,221",237,King Room,New York,USA
Fairfield Inn by Marriott New York Manhattan/Financial District,Good,7.8,"3,635",,Queen Room,New York,USA
Hampton Inn Manhattan-35th St Empire State Bldg,Very Good,8.3,"6,669",275,King Room - Non-Smoking,New York,USA
Hampton Inn Manhattan/Downtown- Financial District,Good,7.8,643,,1 Double Room - Disability Access/Non-Smoking,New York,USA
Hampton Inn Times Square Central,Very Good,8.3,"2,834",,King Room with Roll-In Shower - Mobility and Hearing Access/Non-Smoking,New York,USA
Heritage Hotel New York City,Good,7.4,"3,784",217,King Room - Non-Smoking,New York,USA
Hilton Garden Inn New York Central Park South-Midtown West,Good,7.6,"8,797",347,King Room - Hearing Access,New York,USA
Hilton Garden Inn New York Times Square South,Very Good,8.2,"4,018",,King Room - Hearing Access,New York,USA
Hilton Garden Inn New York/Manhattan-Chelsea,Good,7.6,"4,037",,High Floor King Room,New York,USA
Hilton Garden Inn NYC Financial Center/Manhattan Downtown,Very Good,8.3,"5,053",268,King Room,New York,USA
Hilton Garden Inn West 35th Street,Very Good,8.2,"3,068",314,King Room with City View,New York,USA
Hilton New York Fashion District,Good,7.5,838,306,Queen Room,New York,USA
Holiday Inn Express - Wall Street by IHG,Good,7.8,"1,883",,Standard Room,New York,USA
Holiday Inn Manhattan 6th Ave - Chelsea by IHG,Good,7.6,"2,943",,Standard King Room,New York,USA
Hotel 27 by LuxUrban,Good,7,882,198,Double Room - Non-Smoking,New York,USA
"Hotel 50 Bowery, part of JdV by Hyatt",Excellent,8.6,959,,Double Room with Two Double Beds,New York,USA
Hotel 57 by LuxUrban,Good,7,"5,079",254,Double Room - Non-Smoking,New York,USA
Hotel AKA NoMad,Very Good,8.3,674,365,NoMad King,New York,USA
Hotel Belleclaire Central Park,Very Good,8.1,"5,101",,Deluxe 1 King Bed,New York,USA
Hotel Edison Times Square,Good,7.7,"13,317",287,Signature 1 Queen Bed,New York,USA
Hotel Hayden New York,Good,7.1,"3,161",197,Superior King Room,New York,USA
Hotel Hugo,Good,7.8,"1,371",276,Superior King Room,New York,USA
Hotel Indigo NYC Downtown - Wall Street by IHG,Very Good,8.3,"1,051",,Standard Queen Room,New York,USA
Hotel St. James,Very Good,8.1,"3,232",245,One Queen Bed Room,New York,USA
Hyatt Centric Midtown 5th Avenue New York,Very Good,8,"1,153",510,Standard Queen Room with Two Queen Beds,New York,USA
Hyatt Place New York Chelsea,Good,7.9,"18,150",425,Double Room with Skyline View,New York,USA
Hyatt Place New York City - Times Square,Good,7.8,"21,862",,Double Room with Two Double Beds and City View,New York,USA
Ink 48 Hotel,Good,7.5,"2,564",292,Deluxe Queen Room with Two Queen Beds,New York,USA
INNSiDE by Meliá New York Nomad,Very Good,8.5,"1,020",364,The INNSiDE Room - Queen,New York,USA
InterContinental New York Times Square by IHG,Good,7.9,"1,789",,Standard Room,New York,USA
Iroquois New York Times Square,Very Good,8.5,"2,631",428,Deluxe 1 Queen Bed,New York,USA
JG Sohotel,Good,7.1,267,208,Queen Room,New York,USA
